Cohort,Year,Cohort type,Format,Start Date,End Date,Dynamic,Value before,Value after,Change,% Change
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2025,4/23/2025,D1,4,4.7,0.7,18%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D5,3.2,4.1,0.9,28%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D6,3.2,4.2,1,31%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D4,3.4,4.2,0.8,24%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D8,3.6,4.4,0.8,22%
CW-Winter-2025,2025,Higher Ed,6-week,1/29/2025,3/12/2025,D3,3.6,4.1,0.5,14%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D7,3.8,4.1,0.3,8%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D2,4.2,4.5,0.3,7%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D1,4.8,4.9,0.1,2%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D4,3.5,4.3,0.8,23%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D6,3.6,4.5,0.9,25%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D7,3.6,4.4,0.8,22%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D5,3.8,4.6,0.8,21%
CWF-Bloom-2024,2024,AWCS,Retreat,6/10/2024,6/14/2024,D3,3.8,4.4,0.6,16%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D8,4.1,4.7,0.6,15%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D2,4.2,4.6,0.4,10%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D1,4.5,4.6,0.1,2%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D4,3.1,3.7,0.6,19%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D6,3.2,4,0.8,25%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D7,3.2,4.1,0.9,28%
CWF-Elohee-2024,2024,AWCS,Retreat,5/21/2024,5/25/2024,D3,4,4.4,0.4,10%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D5,3.8,3.9,0.1,3%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D8,3.8,4.3,0.5,13%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D2,3.9,4.2,0.3,8%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D1,4.7,4.9,0.2,4%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D6,2.3,4,1.7,74%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D7,2.8,3.9,1.1,39%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D4,3,4,1,33%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D5,3.1,3.7,0.6,19%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D8,3.2,4.3,1.1,34%
CWF-Omega-2024,2024,AWCS,Retreat,6/2/2024,6/6/2024,D3,3.8,4.3,0.5,13%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D2,3.9,4.3,0.4,10%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D1,4.8,4.8,0,0%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D6,2.8,4.2,1.4,50%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D4,3.2,3.9,0.7,22%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D7,3.4,4.1,0.7,21%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D5,3.5,4.2,0.7,20%
CWP-Omega-Fall2022,2022,AWCS,Retreat,9/1/2022,10/15/2022,D3,3.3,4.3,1,30%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D8,3.9,4.6,0.7,18%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D2,4,4.3,0.3,8%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D1,4.8,4.8,0,0%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D6,2.3,3.8,1.5,65%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D7,2.8,3.7,0.9,32%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D4,2.9,3.9,1,34%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D8,3.3,4.4,1.1,33%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D5,3.4,3.9,0.5,15%
CWP-Online-Fall2022,2022,AWCS,Course,9/1/2022,10/1/2022,D3,3.8,4.8,1,26%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D2,3.8,4.4,0.6,16%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D1,4.5,4.9,0.4,9%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D4,3.1,3.9,0.8,26%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D6,3.3,4.6,1.3,39%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D7,3.4,4.5,1.1,32%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D5,3.5,4.5,1,29%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D8,3.8,4.6,0.8,21%
CWP-Online-Summer2022,2022,AWCS,Course,7/1/2022,8/1/2022,D3,3.7,4.5,0.8,22%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D2,4.3,4.7,0.4,9%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D1,4.7,4.7,0,0%
HE-Andrejewski-2024,2025,Higher Ed,Course,1/20/2025,4/23/2025,D1,4.3,4.7,0.4,9%
HE-Andrejewski-2025 ,,,,1/20/2025,4/21/2025,D1,4,4.7,0.7,18%
CWP-Online-Summer2023,2023,AWCS,Course,7/1/2023,8/1/2023,D3,3.9,4.5,0.6,15%
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2025,4/23/2025,D2,3.4,4.3,0.9,26%
HE-Andrejewski-2024,2025,Higher Ed,Course,1/20/2025,4/23/2025,D2,3.7,4.3,0.6,16%
HE-Andrejewski-2025 ,,,,1/20/2025,4/21/2025,D2,3.4,4.1,0.7,21%
HE-Andrejewski-2024,2024,Higher Ed,Course,1/20/2025,4/23/2025,D3,2.9,3.9,1,34%
HE-Andrejewski-2024,2025,Higher Ed,Course,1/20/2025,4/23/2025,D3,2.9,3.9,1,34%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D6,2.75,4,1.25,45%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D7,3,4,1,33%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D4,3.13,3.43,0.3,10%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D5,3.25,4,0.75,23%
HE-Andrejewski-2025 ,,,,1/20/2025,4/21/2025,D3,2.8,3.9,1.1,39%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D8,3.75,4.57,0.82,22%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D1,3.88,4.57,0.69,18%
HE-Ciulla-2024,2024,Higher Ed,6-week,3/10/2025,4/21/2025,D2,3.88,4.14,0.26,7%
HE-Kim-Cohen-2024,2024,Higher Ed,Course,1/20/2025,4/21/2025,D7,2.24,3.29,1.05,47%
